,MP ID,Breed,Gender,Age (years),KIT Pattern,Status,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF
413,MP-21-0000605 ,Yorkshire Terrier,Mc,8,1,neg,6,1.8,10.8,4,Low,2,,x,
414,MP-21-0000588,Mixed ,M,10,2,neg,45,2.5,112.5,4,Low,2,,x,
415,MP-21-0000544,Mixed,Mc,9,1,neg,10,1.8,18,4,Low,2,sc,x,
416,MP-21-0000522,Cocker Spaniel,Mc,12,1,neg,3,1.5,4.5,4,Low,2,,x,
417,MP-21-0000520,Mixed ,Fs,8,1,neg,2,1.4,2.8,4,Low,2,,x,
418,MP-20-0014239 ,?,Fs,7,1,neg,6,1.7,10.2,4,Low,2,,x,
419,MP-20-0014232 ,Bichon Frise,Mc,5,2,neg,7,1.6,11.2,4,Low,2,,x,
420,MP-20-0003529,?,Fs,7,2,neg,5,1.8,9,4,Low,2,,x,
421,MP-20-0003419 ,Collie,Fs,6,2,neg,22,2.1,46.2,4,Low,2,,x,
422,MP-19-0008554-2 ,French Bulldog,Fs,13,2,neg,7,1.6,11.2,4,Low,2,,x,
423,MP-19-0008539,?,Mc,5,2,neg,11,1.3,14.3,4,Low,2,,x,
424,MP-19-0008391,Mixed ,?,?,1,neg,60,2.6,156,4,Low,2,,x,
425,MP-19-0004315 ,?,Fs,9,1,neg,16,2.5,40,4,Low,2,,x,
426,MP-18-0006963 ,Boxer,Mc,6,1,neg,7,1.7,11.9,4,Low,2,,x,
427,MP-18-0005003 ,?,?,?,2,neg,31,2.4,74.4,4,Low,2,,x,
428,MP-18-0003749 ,Great Pyrenees,Fs,6,2,neg,12,1.7,20.4,4,Low,2,,x,
429,MP-18-0003683 ,Labrador ,Mc,6,2,neg,13,1.6,20.6,4,Low,2,,x,
430,MP-18-0002451,?,Fs,8,2,neg,17,1.7,28.9,4,Low,2,,x,
431,MP-17-0014094,Pug,Fs,7,2,neg,17,2,34,4,Low,2,,x,nicht auf Festpallte ! Am 18.2.22 gescannt 
432,MP-17-0013531,Mixed ,Fs,?,2,neg,38,2.3,87.4,4,Low,2,,x,
433,MP-21-0000853,Basset Hound,Mc,11,2,neg,12,1.4,16.8,4,Low,1,,x,
434,MP-21-0000225,"Poodle, Toy",Mc,7,2,neg,1.6,1.47,2.35,4,Low,1,,x,
435,MP-17-0013794 ,Boxer,Fs,4,2,neg,57,2.3,131.1,4,Low,1,,x,
