,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.6647727272727272,0.8914473684210527,0.631578947368421,0.7428571428571429
1,1,0.6988636363636364,0.8627450980392157,0.6052631578947368,0.7142857142857143
2,2,0.7812499999999999,0.9607843137254901,0.6842105263157895,0.9142857142857143
3,3,0.6903409090909091,0.8486842105263157,0.631578947368421,0.8857142857142857
4,4,0.7215909090909091,0.9542483660130718,0.6842105263157895,0.8857142857142857
5,5,0.75,0.8790849673202614,0.6842105263157895,0.8285714285714285
6,6,0.7840909090909091,0.7666666666666666,0.7105263157894737,0.8285714285714285
7,7,0.7556818181818181,0.8137254901960784,0.6578947368421053,0.7142857142857143
8,8,0.7926136363636365,0.7833333333333333,0.7105263157894737,0.7142857142857143
9,9,0.7528409090909092,0.8566666666666667,0.6578947368421053,0.7142857142857143
