,MP ID,Breed,Gender,Age (years),KIT Pattern,KIT 11,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF,Age (y),Validated,HE- Scanned ,Annotated,Für Kit 11-Gruppe,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
33,MP-21-0004823,?,Mc,9,2.0,pos,9.2,1.53,14.12,4,High,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MP-21-0003988,Mixed,Mc,12,1.0,pos,15,2,29.6,4,Low,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MP-21-0002781,Labrador ,Mc,6,2.0,pos,54,2.8,151.2,4,High,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MP-21-0002779,?,Fs,8,2.0,pos,37,3,111,4,High,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MP-21-0002713,Mixed,Mc,8,2.0,pos,36,2.7,97.2,4,High,2.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MP-21-0002671,Yorkshire Terrier,Fs,11,2.0,pos,31,2.7,83.7,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MP-21-0002609,?,?,?,2.0,pos,36,2.7,97.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MP-21-0001784,Labrador,Mc,12,2.0,pos,36,3.1,110.2,4,High,2.0,,x,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MP-21-0001757,Golden Retriver,F,5,2.0,pos,30,3,90,4,High,2.0,,x,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MP-21-0001718,Maltese Dog,Fs,13,2.0,pos,26,2.8,79.9,4,Low,2.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MP-21-0001688,?,?,?,2.0,pos,30,2.8,85.1,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
